Id,Active,ProductCode,ProductType,Name,ProductFamily,Category,GLAccount,Description,UnitOfMeasure,Tags,UnitCost,LotAndExpiryControl,ColdChain,ControlledSubstance,HazardousMaterial,Reconditioned,Manufacturer,BrandName,ManufacturerCode,ManufacturerName,Vendor,VendorCode,VendorName,UPC,NDC,Created,Updated
,TRUE,,Default,Levodopa 100mg + carbidopa 10mg tablet,,Antiparkinsonism medicines,,,Each,Parkinson disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levodopa 100mg + carbidopa 25mg tablet,,Antiparkinsonism medicines,,,Each,Parkinson disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levodopa 250mg + carbidopa 25mg tablet,,Antiparkinsonism medicines,,,Each,Parkinson disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levofloxacin 100mg dispersible tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levofloxacin 250mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levofloxacin 500mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levofloxacin 750mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levonorgestrel 1.5mg tablet,,Oral hormonal contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levonorgestrel 750ug tablet,,Oral hormonal contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levonorgestrel-releasing implant,,Implantable contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levothyroxine 100ug tablet,,Thyroid hormones and antithyroid medicines,,,Each,Hypothyroidism,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levothyroxine 25ug tablet,,Thyroid hormones and antithyroid medicines,,,Each,Hypothyroidism,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Levothyroxine 50ug tablet,,Thyroid hormones and antithyroid medicines,,,Each,Hypothyroidism,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Lidocaine 1% + epinephrine 1:200,000",,Local anaesthetics,,,Each,Local anaesthetics,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Lidocaine injection, 20mg/mL in 5mL ampoule",,Antiarrhythmic medicines,,,Each,Ventricular tachyarrhythmia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Lidocaine spinal injection, 20mg/mL in 2mL ampoule + 7.5% glucose",,Local anaesthetics,,,Each,Local anaesthetics,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Linezolid 400mg tablet,,Antituberculosis medicines,,,Each,Vancomycin resistant Staphylococcus aureus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Linezolid 600mg tablet,,Antituberculosis medicines,,,Each,Multi-drug resistant Mycobacterium tuberculosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Linezolid infusion, 2mg/mL in 300mL bag",,Reserve group antibiotics,,,Each,Vancomycin resistant Enterococcus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Linezolid oral solution, 100mg/5mL",,Reserve group antibiotics,,,Each,Methicillin resistant Staphylococcus aureus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lithium carbonate 300mg tablet,,Medicines used in bipolar disorders,,,Each,Bipolar or related disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Long-acting insulin analogues, 100IU/mL in 3mL catridge",,Insulins,,,Each,Type 1 diabetes mellitus,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Long-acting insulin analogues, 100IU/mL in 3mL prefilled syringe",,Insulins,,,Each,Type 2 diabetes mellitus,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Loperamide 2mg tablet,,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Lopinavir 100mg + ritonavir 25mg tablet,,Protease inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Loratadine 10mg tablet,,Antiallergics and medicines used in anaphylaxis,,,Each,Allergic or hypersensitivity conditions of unspecified type,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Lorazepam injection, 2mg/mL in 1mL ampoule",,Anticonvulsants/antiepileptics,,,Each,Status epilepticus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Losartan 100mg tablet,,Medicines used in heart failure,,,Each,"Heart failure,Essential hypertension",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Losartan 25mg tablet,,Antihypertensive medicines,,,Each,"Heart failure,Essential hypertension",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,lugol's solution 13%,,Thyroid hormones and antithyroid medicines,,,Each,Thyrotoxicosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Magnesium sulfate injection, 500mg/mL in 10mL ampoule",,Anticonvulsants/antiepileptics,,,Each,"Eclampsia,Severe pre-eclampsia",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Magnesium sulfate injection, 500mg/mL in 2mL ampoule",,Anticonvulsants/antiepileptics,,,Each,"Eclampsia,Severe pre-eclampsia",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mannitol 10% oral solution,,Diuretics,,,Each,"Ocular hypertension,Cerebral oedema",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mannitol 20% oral solution,,Diuretics,,,Each,"Ocular hypertension,Cerebral oedema",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Measles vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Mebendazole 100mg chewable tablet,,Intestinal anthelminthics,,,Each,"Enterobiasis,Ascariasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mebendazole 500mg chewable tablet,,Intestinal anthelminthics,,,Each,"Enterobiasis,Ascariasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Medroxyprogesterone acetate 5mg tablet,,Progestogens,,,Each,Excessive menstruation with irregular cycle,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Medroxyprogesterone acetate injection, 150mg/mL in 1mL vial",,Injectable hormonal contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mefloquine 250mg tablet,,For curative treatment,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Meglumine antimoniate injection 30% in 5mL ampoule,,Antileishmaniasis medicines,,,Each,Visceral leishmaniasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Meglumine iotroxate 5g in 250mL,,Radiocontrast media,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Melarsoprol injection 3.6% in 5mL ampoule,,Medicines for the treatment of 2nd stage African trypanosomiasis,,,Each,African trypanosomiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Melphalan powder for injection, 50mg",,Cytotoxic medicines,,,Each,Plasma cell myeloma,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Meningococcal meningitis vaccine,,Recommendations for some high-risk populations,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Mercaptopurine 50mg tablet,,Cytotoxic medicines,,,Each,Lymphoid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Meropenem 1g + vaborbactam 1g powder for injection,,Reserve group antibiotics,,,Each,Carbapenem resistant Enterobacterales,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Meropenem powder for injection, 1000mg",,Watch group antibiotics,,,Each,"Neutropenia (high-risk),Peritonitis (severe)",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Meropenem powder for injection, 500mg",,Watch group antibiotics,,,Each,"Neutropenia (high-risk),Peritonitis (severe)",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mesna 400mg tablet,,Supportive medicines,,,Each,"Germ cell tumour of testis,Osteosarcoma of bone and articular cartilage of other specified sites,Ewing sarcoma of bone and articular cartilage of unspecified sites,Other specified malignant neoplasms of the ovary",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mesna 600mg tablet,,Supportive medicines,,,Each,"Germ cell tumour of testis,Osteosarcoma of bone and articular cartilage of other specified sites,Ewing sarcoma of bone and articular cartilage of unspecified sites,Other specified malignant neoplasms of the ovary",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mesna injection 100mg/mL in 10mL ampoule,,Supportive medicines,,,Each,"Germ cell tumour of testis,Osteosarcoma of bone and articular cartilage of other specified sites,Ewing sarcoma of bone and articular cartilage of unspecified sites,Other specified malignant neoplasms of the ovary",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mesna injection 100mg/mL in 4mL ampoule,,Supportive medicines,,,Each,"Germ cell tumour of testis,Osteosarcoma of bone and articular cartilage of other specified sites,Ewing sarcoma of bone and articular cartilage of unspecified sites,Other specified malignant neoplasms of the ovary",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Metformin 500mg tablet,,Oral hypoglycaemic agents,,,Each,Type 2 diabetes mellitus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Methadone 10mg tablet,,Opioid analgesics,,,Each,Opioid dependence,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Methadone 5mg tablet,,Opioid analgesics,,,Each,Opioid dependence,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Methadone oral concentrate 5mg/1mL,,Opioid analgesics,,,Each,"Chronic cancer pain,Opioid dependence",,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Methadone oral solution 5mg/5mL,,Opioid analgesics,,,Each,"Chronic cancer pain,Opioid dependence",,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Methimazole 10mg tablet,,Thyroid hormones and antithyroid medicines,,,Each,Thyrotoxicosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Methimazole 20mg tablet,,Thyroid hormones and antithyroid medicines,,,Each,Thyrotoxicosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Methimazole 5mg tablet,,Thyroid hormones and antithyroid medicines,,,Each,Thyrotoxicosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Methotrexate 2.5mg tablet,,Cytotoxic medicines,,,Each,"Malignant trophoblastic neoplasms of placenta,Malignant neoplasms of breast",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Methotrexate powder for injection 50mg,,Cytotoxic medicines,,,Each,"Malignant trophoblastic neoplasms of placenta,Malignant neoplasms of breast",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Methylprednisolone injection, 40mg/mL in 1mL single-dose vial",,Hormones and antihormones,,,Each,Lymphoid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Methylthioninium chloride injection, 10mg/mL in 10mL ampoule",,Specific,,,Each,Acquired methaemoglobinaemia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Metoclopramide 10mg tablet,,Antiemetic medicines,,,Each,"Nausea or vomiting,Palliative care",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Metoclopramide injection, 5mg/mL in 2mL ampoule",,Antiemetic medicines,,,Each,"Nausea or vomiting,Palliative care",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Metronidazole 1000mg suppository,,Access group antibiotics,,,Each,"Peritonitis (mild-moderate),Intestinal infections due to Clostridioides difficile,Peritonitis (severe),Trichomoniasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Metronidazole 200mg tablet,,Access group antibiotics,,,Each,"Peritonitis (mild-moderate),Intestinal infections due to Clostridioides difficile,Peritonitis (severe),Trichomoniasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Metronidazole 500mg suppository,,Access group antibiotics,,,Each,"Peritonitis (mild-moderate),Intestinal infections due to Clostridioides difficile,Peritonitis (severe),Trichomoniasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Metronidazole 500mg tablet,,Access group antibiotics,,,Each,"Peritonitis (mild-moderate),Intestinal infections due to Clostridioides difficile,Peritonitis (severe),Trichomoniasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Metronidazole injection, 500mg/100mL",,Access group antibiotics,,,Each,"Peritonitis (mild-moderate),Intestinal infections due to Clostridioides difficile,Peritonitis (severe),Trichomoniasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Metronidazole oral solution, 200mg/5mL",,Access group antibiotics,,,Each,"Peritonitis (mild-moderate),Intestinal infections due to Clostridioides difficile,Peritonitis (severe),Trichomoniasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Micafungin powder for injection, 50mg",,Antifungal medicines,,,Each,Systemic or invasive candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Miconazole 2% cream,,Antifungal medicines (topical),,,Each,Fungal infection of the skin,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Midazolam injection 10mg/mL in 1mL ampoule,,Anticonvulsants/antiepileptics,,,Each,Status epilepticus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Midazolam injection 1mg/mL in 1mL ampoule,,Anticonvulsants/antiepileptics,,,Each,Status epilepticus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Miltefosine 10mg tablet,,Antileishmaniasis medicines,,,Each,"Visceral leishmaniasis,Mucocutaneous leishmaniasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Miltefosine 50mg tablet,,Antileishmaniasis medicines,,,Each,"Visceral leishmaniasis,Mucocutaneous leishmaniasis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Misoprostol 200ug tablet,,Uterotonics,,,Each,Spontaneous abortion incomplete without complication,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Misoprostol 25ug vaginal tablet,,Uterotonics,,,Each,Spontaneous abortion incomplete without complication,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Morphine 10mg immediate release tablet,,Opioid analgesics,,,Each,Pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,"Morphine injection, 10mg/mL in 1mL ampoule",,Opioid analgesics,,,Each,Pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Morphine oral solution 10mg/5mL,,Opioid analgesics,,,Each,Pain,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Moxifloxacin 100mg tablet,,Antituberculosis medicines,,,Each,"Multi-drug resistant Mycobacterium tuberculosis,Tuberculosis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Moxifloxacin 400mg tablet,,Antituberculosis medicines,,,Each,"Multi-drug resistant Mycobacterium tuberculosis,Tuberculosis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Mumps vaccine,,Recommendations for immunization programmes with certain characteristics,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Mupirocin 2% cream,,Anti-infective medicines,,,Each,Superficial bacterial folliculitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Naloxone injection, 400ug/1mL",,Specific,,,Each,Unintentional exposure to or harmful effects of opioids or related analgesics,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Natamycin 5% eye drops,,Anti-infective agents,,,Each,Infectious keratitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Neostigmine 15mg tablet,,Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,,,Each,Myasthenia gravis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Neostigmine injection, 0.5mg/mL",,Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,,,Each,Anticholinesterase reversible,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nevirapine 200mg tablet,,Non-nucleoside reverse transcriptase inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nevirapine oral solution 50mg/5mL,,Non-nucleoside reverse transcriptase inhibitors,,,Each,Human immunodeficiency virus disease without mention of associated disease or condition clinical stage unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Niclosamide 500mg chewable tablet,,Intestinal anthelminthics,,,Each,Hymenolepiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nicotinamide 50mg tablet,,Vitamins and minerals,,,Each,Pellagra,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nifedipine 10mg tablet,,Antioxytocics (tocolytics),,,Each,Preterm labour without delivery,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nifurtimox 120mg tablet,,Medicines for the treatment of 2nd stage African trypanosomiasis,,,Each,African trypanosomiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nifurtimox 30mg tablet,,American trypanosomiasis,,,Each,Chagas disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nilotinib 150mg capsule,,Targeted therapies,,,Each,Chronic myeloid leukaemia not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nitrofurantoin 100mg tablet,,Access group antibiotics,,,Each,Infectious cystitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nitrous oxide,,Inhalational medicines,,,Each,Anaesthetics and therapeutic gases,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Norethisterone enantate oily injection, 200mg/mL",,Injectable hormonal contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Normal immunoglobulin injection, 16% protein solution",,Human immunoglobulins,,,Each,Mucocutaneous lymph node syndrome,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Normal immunoglobulin injection, 5% protein solution",,Human immunoglobulins,,,Each,Primary immunodeficiencies,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Nystatin 0.3% eye drops,,Anti-infective agents,,,Each,Infectious keratitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Nystatin 100,000IU tablet",,Antifungal medicines,,,Each,Candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Nystatin 50,000IU tablet",,Antifungal medicines,,,Each,Candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Nystatin oral solution, 10,000IU/mL",,Antifungal medicines,,,Each,Candidosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ombitasvir 12.5mg + paritaprevir 75mg + ritonavir 50mg,,Non-pangenotypic direct-acting antiviral combinations,,,Each,Chronic hepatitis C,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Omeprazole 20mg tablet,,Antiulcer medicines,,,Each,Gastro-oesophageal reflux disease,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Omeprazole 40mg tablet,,Antiulcer medicines,,,Each,Gastrointestinal bleeding,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Omeprazole injection, 40mg/mL",,Antiulcer medicines,,,Each,Peptic ulcer site unspecified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Ondansetron 4mg tablet,,Antiemetic medicines,,,Each,Nausea or vomiting,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Ondansetron injection, 4mg/2mL",,Medicines for other common symptoms in palliative care,,,Each,Palliative care,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Oral rehydration salts,,Oral,,,Each,Other specified disorders of fluid electrolyte or acid-base balance,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Oseltamivir 30mg capsule,,Other antivirals,,,Each,Influenza due to identified seasonal influenza virus,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Oxaliplatin powder for injection 100mg,,Cytotoxic medicines,,,Each,Malignant neoplasms of colon,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Oxaliplatin powder for injection 50mg,,Cytotoxic medicines,,,Each,Malignant neoplasm metastasis in large intestine,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Oxamniquine 250mg capsule,,Antischistosomals and other antitrematode medicines,,,Each,Schistosomiasis due to Schistosoma mansoni,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Oxytocin injection, 10IU/mL",,Uterotonics,,,Each,Postpartum haemorrhage,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Paclitaxel injection, 6mg/mL",,Cytotoxic medicines,,,Each,Other specified malignant neoplasms of the ovary,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Paliperidone injection, 25mg in prefilled syringe",,Medicines used in psychotic disorders,,,Each,Schizophrenia or other primary psychotic disorders,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Paracetamol 100mg tablet,,Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),,,Each,Pain,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Paracetamol 500mg tablet,,Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),,,Each,Pain,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Paracetamol oral solution 125mg/5mL,,Non-opioids and non-steroidal anti-inflammatory medicines (NSAIMs),,,Each,Migraine,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Penicillamine 250mg tablet,,Specific,,,Each,Harmful effects of or exposure to noxious substances chiefly nonmedicinal as to source not elsewhere classified,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pentamidine 200mg tablet,,Antipneumocystosis and antitoxoplasmosis medicines,,,Each,Pneumocystosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pentamidine powder for injection 200mg,,Medicines for the treatment of 1st stage African trypanosomiasis,,,Each,African trypanosomiasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Permethrin 1% lotion,,Scabicides and pediculicides,,,Each,Pediculosis corporis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Permethrin 5% cream,,Scabicides and pediculicides,,,Each,Pediculosis capitis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pertussis vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Phenobarbital 30mg tablet,,Anticonvulsants/antiepileptics,,,Each,Epilepsy or seizures,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Phenobarbital 50mg tablet,,Anticonvulsants/antiepileptics,,,Each,Status epilepticus,,TRUE,,TRUE,,,,,,,,,,,,,
,TRUE,,Default,Phenoxymethylpenicillin 250mg tablet,,Access group antibiotics,,,Each,Bacterial pneumonia (Community-acquired pneumonia - mild to moderate),,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Phenytoin 25mg tablet,,Anticonvulsants/antiepileptics,,,Each,Epilepsy or seizures,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Phytomenadione 10mg tablet,,Medicines affecting coagulation,,,Each,Haemorrhagic disorder due to other specified circulating anticoagulants,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Phytomenadione injection, 10mg/mL",,Medicines affecting coagulation,,,Each,Haemorrhagic or haematological disorders of fetus or newborn,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pilocarpine 2% eye drops,,Miotics and antiglaucoma medicines,,,Each,Acute angle closure with pupillary block,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pilocarpine 4% eye drops,,Miotics and antiglaucoma medicines,,,Each,Ocular hypertension,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Piperacillin 2g + tazobactam 250mg powder for injection,,Watch group antibiotics,,,Each,Other specified pneumonia (Hospital-acquired pneumonia),,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Piperacillin 4g + tazobactam 5000mg powder for injection,,Watch group antibiotics,,,Each,Peritonitis (severe),,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Platelets,,Blood and blood components,,,Each,Blood transfusion without reported diagnosis,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Plazomicin injection 500mg/10ml,,Reserve group antibiotics,,,Each,Carbapenem resistant Acinetobacter baumannii,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Pneumococcal vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,"Podophyllum resin, 10%",,Medicines affecting skin differentiation and proliferation,,,Each,"Plantar warts,Anogenital warts",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Podophyllum resin, 25%",,Medicines affecting skin differentiation and proliferation,,,Each,"Plantar warts,Anogenital warts",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Poliomyelitis vaccine,,Recommendations for all immunization programmes,,,Each,,,TRUE,TRUE,,,,,,,,,,,,,,
,TRUE,,Default,Polygeline3.5% infusion,,Plasma substitutes,,,Each,Hypovolaemia,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,polymyxin B (injection),,Reserve group antibiotics,,,Each,Carbapenem resistant Enterobacterales,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Potassium iodide 60mg tablet,,Antifungal medicines,,,Each,Sporotrichosis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Potassium permanganate 1:10,000 aqueous solution",,Anti-infective medicines,,,Each,Tropical phagedaenic ulcer,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Povidone iodine 10% solution,,Antiseptics,,,Each,Povidone iodine,,FALSE,,,,,,,,,,,,,,,
,TRUE,,Default,praziquantel 1500mg tablet,,Intestinal anthelminthics,,,Each,Taeniasis due to Taenia saginata,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,praziquantel 600mg tablet,,Intestinal anthelminthics,,,Each,Diphyllobothriasis,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Primaquine 15mg tablet,,For curative treatment,,,Each,"Malaria due to Plasmodium vivax,Malaria due to Plasmodium ovale",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Primaquine 7.5mg tablet,,For curative treatment,,,Each,"Malaria due to Plasmodium vivax,Malaria due to Plasmodium ovale",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Procaine benzylpenicillin powder for injection, 1g",,Access group antibiotics,,,Each,"Congenital syphilis [children],Syphilis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Procaine benzylpenicillin powder for injection, 3g",,Access group antibiotics,,,Each,"Congenital syphilis [children],Syphilis",,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Progesterone vaginal ring, 2.074g",,Intravaginal contraceptives,,,Each,,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Proguanil 100mg tablet,,For chemoprevention,,,Each,Malaria due to Plasmodium falciparum,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,"Propofol injection, 10mg/mL",,Injectable medicines,,,Each,Anaesthetics and therapeutic gases,,TRUE,,,,,,,,,,,,,,,
,TRUE,,Default,Propylthiouracil 50mg tablet,,Thyroid hormones and antithyroid medicines,,,Each,Thyrotoxicosis,,TRUE,,,,,,,,,,,,,,,
